NCE (DensityRatio) Run 4 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star']
Train: 82924 Omega, 40141 Anti | Val: 30767
Loss: NCE = -E_Anti[f] + log E_Omega[exp f] | LR=0.0005 | EMA=0.999
DensityRatioNet: 274,433 params
Starting NCE training...

Epoch 001 | NCE: -0.1972 | f_anti: 0.344 | f_omega: -0.048 | Δf: 0.392 | Score(argmax): 0.2380 | Score(sweep): 0.2437 | LR: 0.000500 | No-improve: 0/30
Epoch 002 | NCE: -0.2382 | f_anti: 0.325 | f_omega: -0.139 | Δf: 0.464 | Score(argmax): 0.2649 | Score(sweep): 0.2689 | LR: 0.000500 | No-improve: 0/30
Epoch 003 | NCE: -0.2516 | f_anti: 0.403 | f_omega: -0.091 | Δf: 0.494 | Score(argmax): 0.2763 | Score(sweep): 0.2831 | LR: 0.000500 | No-improve: 0/30
Epoch 004 | NCE: -0.2650 | f_anti: 0.294 | f_omega: -0.220 | Δf: 0.514 | Score(argmax): 0.2823 | Score(sweep): 0.2895 | LR: 0.000500 | No-improve: 0/30
Epoch 005 | NCE: -0.2739 | f_anti: 0.396 | f_omega: -0.140 | Δf: 0.536 | Score(argmax): 0.2869 | Score(sweep): 0.2958 | LR: 0.000500 | No-improve: 0/30
Epoch 006 | NCE: -0.2632 | f_anti: 0.106 | f_omega: -0.443 | Δf: 0.549 | Score(argmax): 0.2888 | Score(sweep): 0.2977 | LR: 0.000500 | No-improve: 0/30
Epoch 007 | NCE: -0.1999 | f_anti: -0.041 | f_omega: -0.625 | Δf: 0.584 | Score(argmax): 0.2935 | Score(sweep): 0.2986 | LR: 0.000500 | No-improve: 0/30
Epoch 008 | NCE: -0.1440 | f_anti: 0.039 | f_omega: -0.557 | Δf: 0.595 | Score(argmax): 0.2940 | Score(sweep): 0.3011 | LR: 0.000500 | No-improve: 0/30
Epoch 009 | NCE: -0.1807 | f_anti: -0.021 | f_omega: -0.611 | Δf: 0.590 | Score(argmax): 0.2930 | Score(sweep): 0.2995 | LR: 0.000500 | No-improve: 0/30
Epoch 010 | NCE: -0.0433 | f_anti: -0.294 | f_omega: -0.919 | Δf: 0.625 | Score(argmax): 0.2938 | Score(sweep): 0.2989 | LR: 0.000500 | No-improve: 1/30
Epoch 011 | NCE: 0.2175 | f_anti: -0.146 | f_omega: -0.798 | Δf: 0.652 | Score(argmax): 0.2931 | Score(sweep): 0.2981 | LR: 0.000500 | No-improve: 2/30
Epoch 012 | NCE: 0.1193 | f_anti: -0.025 | f_omega: -0.679 | Δf: 0.653 | Score(argmax): 0.2919 | Score(sweep): 0.2996 | LR: 0.000500 | No-improve: 3/30
Epoch 013 | NCE: 0.1082 | f_anti: -0.085 | f_omega: -0.743 | Δf: 0.659 | Score(argmax): 0.2915 | Score(sweep): 0.2996 | LR: 0.000500 | No-improve: 4/30
Epoch 014 | NCE: 0.0924 | f_anti: -0.038 | f_omega: -0.690 | Δf: 0.651 | Score(argmax): 0.2909 | Score(sweep): 0.3002 | LR: 0.000250 | No-improve: 5/30
Epoch 015 | NCE: 0.4187 | f_anti: -0.540 | f_omega: -1.354 | Δf: 0.814 | Score(argmax): 0.2900 | Score(sweep): 0.3015 | LR: 0.000250 | No-improve: 6/30
Epoch 016 | NCE: 2.4367 | f_anti: -0.616 | f_omega: -1.699 | Δf: 1.082 | Score(argmax): 0.2904 | Score(sweep): 0.3012 | LR: 0.000250 | No-improve: 0/30
Epoch 017 | NCE: 3.7683 | f_anti: -0.376 | f_omega: -1.605 | Δf: 1.229 | Score(argmax): 0.2919 | Score(sweep): 0.3014 | LR: 0.000250 | No-improve: 1/30
Epoch 018 | NCE: 4.3850 | f_anti: -0.271 | f_omega: -1.570 | Δf: 1.299 | Score(argmax): 0.2934 | Score(sweep): 0.3033 | LR: 0.000250 | No-improve: 2/30
Epoch 019 | NCE: 4.3131 | f_anti: -0.223 | f_omega: -1.567 | Δf: 1.344 | Score(argmax): 0.2965 | Score(sweep): 0.3011 | LR: 0.000250 | No-improve: 0/30
Epoch 020 | NCE: 5.1720 | f_anti: -0.132 | f_omega: -1.521 | Δf: 1.389 | Score(argmax): 0.2965 | Score(sweep): 0.3005 | LR: 0.000250 | No-improve: 1/30
Epoch 021 | NCE: 4.9158 | f_anti: 0.238 | f_omega: -1.080 | Δf: 1.318 | Score(argmax): 0.2970 | Score(sweep): 0.3021 | LR: 0.000250 | No-improve: 2/30
Epoch 022 | NCE: 4.8792 | f_anti: 0.080 | f_omega: -1.251 | Δf: 1.332 | Score(argmax): 0.2955 | Score(sweep): 0.3023 | LR: 0.000250 | No-improve: 3/30
Epoch 023 | NCE: 6.3027 | f_anti: 0.011 | f_omega: -1.552 | Δf: 1.563 | Score(argmax): 0.2952 | Score(sweep): 0.3008 | LR: 0.000250 | No-improve: 4/30
Epoch 024 | NCE: 6.7196 | f_anti: 0.017 | f_omega: -1.629 | Δf: 1.646 | Score(argmax): 0.2924 | Score(sweep): 0.3011 | LR: 0.000125 | No-improve: 5/30
Epoch 025 | NCE: 8.0518 | f_anti: 0.111 | f_omega: -2.021 | Δf: 2.132 | Score(argmax): 0.2921 | Score(sweep): 0.2999 | LR: 0.000125 | No-improve: 6/30
Epoch 026 | NCE: 10.3319 | f_anti: 0.480 | f_omega: -1.952 | Δf: 2.432 | Score(argmax): 0.2910 | Score(sweep): 0.3020 | LR: 0.000125 | No-improve: 7/30
Epoch 027 | NCE: 9.2044 | f_anti: 0.399 | f_omega: -1.997 | Δf: 2.396 | Score(argmax): 0.2918 | Score(sweep): 0.3011 | LR: 0.000125 | No-improve: 8/30
Epoch 028 | NCE: 10.8390 | f_anti: 0.657 | f_omega: -1.948 | Δf: 2.605 | Score(argmax): 0.2912 | Score(sweep): 0.2995 | LR: 0.000125 | No-improve: 9/30
Epoch 029 | NCE: 13.2341 | f_anti: 1.064 | f_omega: -1.820 | Δf: 2.884 | Score(argmax): 0.2943 | Score(sweep): 0.3008 | LR: 0.000125 | No-improve: 10/30
Epoch 030 | NCE: 13.7280 | f_anti: 1.193 | f_omega: -1.845 | Δf: 3.038 | Score(argmax): 0.2937 | Score(sweep): 0.3016 | LR: 0.000063 | No-improve: 11/30
Epoch 031 | NCE: 12.5431 | f_anti: 1.153 | f_omega: -2.053 | Δf: 3.207 | Score(argmax): 0.2931 | Score(sweep): 0.3033 | LR: 0.000063 | No-improve: 12/30
