NCE v2 Run 5 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star']
Train: 82924 Omega, 40141 Anti | Val: 30767
OMEGA_ACCUM=4 | REG_LAMBDA=0.01 | LR=0.0005 | EMA=0.999
Checkpoint metric: Omega_recall at Anti_recall≥0.9
DensityRatioNet: 274,433 params
Starting NCE v2 training...

Epoch 001 | NCE: -0.1821 | f_anti: 0.221±0.62 | f_omega: -0.138 | Δf: 0.359 | Ω-rec@Anti0.9: 0.2103 (Anti=0.900) | Sweep: 0.1807 | LR: 0.000500 | No-improve: 0/30
Epoch 002 | NCE: -0.2250 | f_anti: 0.210±0.69 | f_omega: -0.224 | Δf: 0.433 | Ω-rec@Anti0.9: 0.2339 (Anti=0.900) | Sweep: 0.2454 | LR: 0.000500 | No-improve: 0/30
Epoch 003 | NCE: -0.2393 | f_anti: 0.238±0.71 | f_omega: -0.223 | Δf: 0.461 | Ω-rec@Anti0.9: 0.2489 (Anti=0.900) | Sweep: 0.2619 | LR: 0.000500 | No-improve: 0/30
Epoch 004 | NCE: -0.2530 | f_anti: 0.248±0.73 | f_omega: -0.241 | Δf: 0.489 | Ω-rec@Anti0.9: 0.2582 (Anti=0.900) | Sweep: 0.2729 | LR: 0.000500 | No-improve: 0/30
Epoch 005 | NCE: -0.2625 | f_anti: 0.250±0.75 | f_omega: -0.253 | Δf: 0.503 | Ω-rec@Anti0.9: 0.2657 (Anti=0.900) | Sweep: 0.2786 | LR: 0.000500 | No-improve: 0/30
Epoch 006 | NCE: -0.2717 | f_anti: 0.257±0.77 | f_omega: -0.265 | Δf: 0.522 | Ω-rec@Anti0.9: 0.2681 (Anti=0.900) | Sweep: 0.2879 | LR: 0.000500 | No-improve: 0/30
Epoch 007 | NCE: -0.2761 | f_anti: 0.240±0.78 | f_omega: -0.291 | Δf: 0.531 | Ω-rec@Anti0.9: 0.2710 (Anti=0.900) | Sweep: 0.2947 | LR: 0.000500 | No-improve: 0/30
Epoch 008 | NCE: -0.2791 | f_anti: 0.268±0.81 | f_omega: -0.273 | Δf: 0.541 | Ω-rec@Anti0.9: 0.2713 (Anti=0.900) | Sweep: 0.2969 | LR: 0.000500 | No-improve: 0/30
Epoch 009 | NCE: -0.2809 | f_anti: 0.240±0.84 | f_omega: -0.313 | Δf: 0.554 | Ω-rec@Anti0.9: 0.2719 (Anti=0.900) | Sweep: 0.2992 | LR: 0.000500 | No-improve: 0/30
Epoch 010 | NCE: -0.2489 | f_anti: 0.270±0.89 | f_omega: -0.291 | Δf: 0.561 | Ω-rec@Anti0.9: 0.2773 (Anti=0.900) | Sweep: 0.2990 | LR: 0.000500 | No-improve: 0/30
Epoch 011 | NCE: -0.1367 | f_anti: 0.257±1.06 | f_omega: -0.336 | Δf: 0.592 | Ω-rec@Anti0.9: 0.2781 (Anti=0.900) | Sweep: 0.2996 | LR: 0.000500 | No-improve: 0/30
Epoch 012 | NCE: -0.0976 | f_anti: 0.348±1.02 | f_omega: -0.247 | Δf: 0.595 | Ω-rec@Anti0.9: 0.2823 (Anti=0.900) | Sweep: 0.2996 | LR: 0.000500 | No-improve: 0/30
Epoch 013 | NCE: -0.1462 | f_anti: 0.291±1.03 | f_omega: -0.299 | Δf: 0.590 | Ω-rec@Anti0.9: 0.2797 (Anti=0.900) | Sweep: 0.3000 | LR: 0.000500 | No-improve: 0/30
Epoch 014 | NCE: -0.0071 | f_anti: 0.290±1.11 | f_omega: -0.314 | Δf: 0.604 | Ω-rec@Anti0.9: 0.2819 (Anti=0.900) | Sweep: 0.3014 | LR: 0.000500 | No-improve: 1/30
Epoch 015 | NCE: 0.3327 | f_anti: 0.362±1.38 | f_omega: -0.301 | Δf: 0.663 | Ω-rec@Anti0.9: 0.2830 (Anti=0.900) | Sweep: 0.3009 | LR: 0.000500 | No-improve: 2/30
Epoch 016 | NCE: 0.8239 | f_anti: 0.404±1.62 | f_omega: -0.287 | Δf: 0.691 | Ω-rec@Anti0.9: 0.2818 (Anti=0.900) | Sweep: 0.3021 | LR: 0.000500 | No-improve: 0/30
Epoch 017 | NCE: 1.3635 | f_anti: 0.474±1.97 | f_omega: -0.270 | Δf: 0.744 | Ω-rec@Anti0.9: 0.2796 (Anti=0.900) | Sweep: 0.3023 | LR: 0.000500 | No-improve: 1/30
Epoch 018 | NCE: 1.3236 | f_anti: 0.495±2.03 | f_omega: -0.247 | Δf: 0.742 | Ω-rec@Anti0.9: 0.2818 (Anti=0.900) | Sweep: 0.3006 | LR: 0.000500 | No-improve: 2/30
Epoch 019 | NCE: 2.4190 | f_anti: 0.511±2.38 | f_omega: -0.290 | Δf: 0.801 | Ω-rec@Anti0.9: 0.2815 (Anti=0.900) | Sweep: 0.3010 | LR: 0.000500 | No-improve: 3/30
Epoch 020 | NCE: 2.8118 | f_anti: 0.449±2.46 | f_omega: -0.354 | Δf: 0.804 | Ω-rec@Anti0.9: 0.2788 (Anti=0.900) | Sweep: 0.3005 | LR: 0.000500 | No-improve: 4/30
Epoch 021 | NCE: 2.8962 | f_anti: 0.498±2.60 | f_omega: -0.342 | Δf: 0.840 | Ω-rec@Anti0.9: 0.2815 (Anti=0.900) | Sweep: 0.3010 | LR: 0.000250 | No-improve: 5/30
Epoch 022 | NCE: 2.7490 | f_anti: 0.584±2.93 | f_omega: -0.349 | Δf: 0.933 | Ω-rec@Anti0.9: 0.2832 (Anti=0.900) | Sweep: 0.3010 | LR: 0.000250 | No-improve: 6/30
Epoch 023 | NCE: 2.8253 | f_anti: 0.649±3.50 | f_omega: -0.397 | Δf: 1.046 | Ω-rec@Anti0.9: 0.2820 (Anti=0.900) | Sweep: 0.3007 | LR: 0.000250 | No-improve: 0/30
Epoch 024 | NCE: 3.8040 | f_anti: 0.598±3.95 | f_omega: -0.524 | Δf: 1.122 | Ω-rec@Anti0.9: 0.2812 (Anti=0.900) | Sweep: 0.2993 | LR: 0.000250 | No-improve: 1/30
Epoch 025 | NCE: 4.9311 | f_anti: 0.755±4.39 | f_omega: -0.442 | Δf: 1.197 | Ω-rec@Anti0.9: 0.2808 (Anti=0.900) | Sweep: 0.3017 | LR: 0.000250 | No-improve: 2/30
Epoch 026 | NCE: 4.2053 | f_anti: 0.721±4.55 | f_omega: -0.493 | Δf: 1.214 | Ω-rec@Anti0.9: 0.2824 (Anti=0.900) | Sweep: 0.3019 | LR: 0.000250 | No-improve: 3/30
Epoch 027 | NCE: 4.4693 | f_anti: 0.766±4.51 | f_omega: -0.416 | Δf: 1.182 | Ω-rec@Anti0.9: 0.2796 (Anti=0.900) | Sweep: 0.3023 | LR: 0.000250 | No-improve: 4/30
Epoch 028 | NCE: 4.9714 | f_anti: 0.854±4.71 | f_omega: -0.394 | Δf: 1.248 | Ω-rec@Anti0.9: 0.2786 (Anti=0.900) | Sweep: 0.3036 | LR: 0.000125 | No-improve: 5/30
Epoch 029 | NCE: 4.0036 | f_anti: 0.760±4.99 | f_omega: -0.546 | Δf: 1.305 | Ω-rec@Anti0.9: 0.2800 (Anti=0.900) | Sweep: 0.3027 | LR: 0.000125 | No-improve: 6/30
Epoch 030 | NCE: 4.1596 | f_anti: 0.850±5.41 | f_omega: -0.561 | Δf: 1.411 | Ω-rec@Anti0.9: 0.2798 (Anti=0.900) | Sweep: 0.3033 | LR: 0.000125 | No-improve: 7/30
Epoch 031 | NCE: 4.9984 | f_anti: 0.817±5.58 | f_omega: -0.631 | Δf: 1.447 | Ω-rec@Anti0.9: 0.2796 (Anti=0.900) | Sweep: 0.3030 | LR: 0.000125 | No-improve: 8/30
Epoch 032 | NCE: 5.1079 | f_anti: 0.922±5.79 | f_omega: -0.573 | Δf: 1.495 | Ω-rec@Anti0.9: 0.2814 (Anti=0.900) | Sweep: 0.3041 | LR: 0.000125 | No-improve: 9/30
Epoch 033 | NCE: 5.6376 | f_anti: 0.947±6.03 | f_omega: -0.592 | Δf: 1.539 | Ω-rec@Anti0.9: 0.2811 (Anti=0.900) | Sweep: 0.3035 | LR: 0.000125 | No-improve: 10/30
Epoch 034 | NCE: 4.5176 | f_anti: 0.933±5.96 | f_omega: -0.603 | Δf: 1.536 | Ω-rec@Anti0.9: 0.2823 (Anti=0.900) | Sweep: 0.3047 | LR: 0.000063 | No-improve: 11/30
Epoch 035 | NCE: 4.9780 | f_anti: 1.051±6.34 | f_omega: -0.607 | Δf: 1.657 | Ω-rec@Anti0.9: 0.2826 (Anti=0.900) | Sweep: 0.3047 | LR: 0.000063 | No-improve: 12/30
Epoch 036 | NCE: 4.7854 | f_anti: 0.922±6.41 | f_omega: -0.747 | Δf: 1.669 | Ω-rec@Anti0.9: 0.2826 (Anti=0.900) | Sweep: 0.3044 | LR: 0.000063 | No-improve: 13/30
Epoch 037 | NCE: 4.0705 | f_anti: 1.027±6.61 | f_omega: -0.710 | Δf: 1.737 | Ω-rec@Anti0.9: 0.2830 (Anti=0.900) | Sweep: 0.3044 | LR: 0.000063 | No-improve: 14/30
Epoch 038 | NCE: 4.9321 | f_anti: 1.045±6.65 | f_omega: -0.702 | Δf: 1.746 | Ω-rec@Anti0.9: 0.2846 (Anti=0.900) | Sweep: 0.3042 | LR: 0.000063 | No-improve: 15/30
Epoch 039 | NCE: 4.0902 | f_anti: 1.040±6.81 | f_omega: -0.743 | Δf: 1.783 | Ω-rec@Anti0.9: 0.2829 (Anti=0.900) | Sweep: 0.3044 | LR: 0.000063 | No-improve: 0/30
