Run 14 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star'] | IN_CHANNELS=5 | D_MODEL=128
Dataset: 103751 Omega, 50081 Anti-Omega
Loss: nnPU (Kiryo 2017), pi=0.4827 (fixed)
EMA decay: 0.999
Model parameters: 274,498
Starting training...

Epoch 001 | Omega Rec: 0.794 | Anti Rec: 0.436 | A@0.55: 0.359 | Score: 0.2297 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | Omega Rec: 0.759 | Anti Rec: 0.496 | A@0.55: 0.431 | Score: 0.2557 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | Omega Rec: 0.762 | Anti Rec: 0.493 | A@0.55: 0.443 | Score: 0.2553 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | Omega Rec: 0.767 | Anti Rec: 0.486 | A@0.55: 0.447 | Score: 0.2528 | LR: 0.000500 | No-improve: 1/25
Epoch 005 | Omega Rec: 0.778 | Anti Rec: 0.473 | A@0.55: 0.438 | Score: 0.2512 | LR: 0.000500 | No-improve: 2/25
Epoch 006 | Omega Rec: 0.767 | Anti Rec: 0.495 | A@0.55: 0.464 | Score: 0.2614 | LR: 0.000500 | No-improve: 3/25
Epoch 007 | Omega Rec: 0.742 | Anti Rec: 0.523 | A@0.55: 0.490 | Score: 0.2642 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | Omega Rec: 0.751 | Anti Rec: 0.516 | A@0.55: 0.481 | Score: 0.2662 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | Omega Rec: 0.741 | Anti Rec: 0.526 | A@0.55: 0.495 | Score: 0.2673 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | Omega Rec: 0.743 | Anti Rec: 0.527 | A@0.55: 0.494 | Score: 0.2705 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | Omega Rec: 0.745 | Anti Rec: 0.523 | A@0.55: 0.491 | Score: 0.2684 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | Omega Rec: 0.736 | Anti Rec: 0.533 | A@0.55: 0.503 | Score: 0.2687 | LR: 0.000500 | No-improve: 1/25
Epoch 013 | Omega Rec: 0.727 | Anti Rec: 0.541 | A@0.55: 0.508 | Score: 0.2681 | LR: 0.000500 | No-improve: 2/25
Epoch 014 | Omega Rec: 0.729 | Anti Rec: 0.541 | A@0.55: 0.506 | Score: 0.2700 | LR: 0.000500 | No-improve: 3/25
Epoch 015 | Omega Rec: 0.729 | Anti Rec: 0.541 | A@0.55: 0.507 | Score: 0.2696 | LR: 0.000500 | No-improve: 4/25
Epoch 016 | Omega Rec: 0.732 | Anti Rec: 0.542 | A@0.55: 0.505 | Score: 0.2731 | LR: 0.000500 | No-improve: 5/25
Epoch 017 | Omega Rec: 0.725 | Anti Rec: 0.549 | A@0.55: 0.514 | Score: 0.2740 | LR: 0.000500 | No-improve: 0/25
Epoch 018 | Omega Rec: 0.724 | Anti Rec: 0.548 | A@0.55: 0.515 | Score: 0.2724 | LR: 0.000500 | No-improve: 0/25
Epoch 019 | Omega Rec: 0.729 | Anti Rec: 0.540 | A@0.55: 0.511 | Score: 0.2694 | LR: 0.000500 | No-improve: 1/25
Epoch 020 | Omega Rec: 0.730 | Anti Rec: 0.543 | A@0.55: 0.511 | Score: 0.2733 | LR: 0.000500 | No-improve: 2/25
Epoch 021 | Omega Rec: 0.726 | Anti Rec: 0.546 | A@0.55: 0.512 | Score: 0.2718 | LR: 0.000500 | No-improve: 3/25
Epoch 022 | Omega Rec: 0.729 | Anti Rec: 0.544 | A@0.55: 0.512 | Score: 0.2735 | LR: 0.000500 | No-improve: 4/25
Epoch 023 | Omega Rec: 0.727 | Anti Rec: 0.541 | A@0.55: 0.509 | Score: 0.2684 | LR: 0.000250 | No-improve: 5/25
Epoch 024 | Omega Rec: 0.725 | Anti Rec: 0.544 | A@0.55: 0.511 | Score: 0.2690 | LR: 0.000250 | No-improve: 6/25
Epoch 025 | Omega Rec: 0.723 | Anti Rec: 0.550 | A@0.55: 0.516 | Score: 0.2734 | LR: 0.000250 | No-improve: 7/25
Epoch 026 | Omega Rec: 0.724 | Anti Rec: 0.551 | A@0.55: 0.516 | Score: 0.2752 | LR: 0.000250 | No-improve: 8/25
Epoch 027 | Omega Rec: 0.723 | Anti Rec: 0.553 | A@0.55: 0.517 | Score: 0.2761 | LR: 0.000250 | No-improve: 0/25
Epoch 028 | Omega Rec: 0.725 | Anti Rec: 0.550 | A@0.55: 0.511 | Score: 0.2749 | LR: 0.000250 | No-improve: 0/25
Epoch 029 | Omega Rec: 0.724 | Anti Rec: 0.550 | A@0.55: 0.514 | Score: 0.2744 | LR: 0.000250 | No-improve: 1/25
Epoch 030 | Omega Rec: 0.720 | Anti Rec: 0.558 | A@0.55: 0.519 | Score: 0.2778 | LR: 0.000250 | No-improve: 2/25
Epoch 031 | Omega Rec: 0.724 | Anti Rec: 0.553 | A@0.55: 0.518 | Score: 0.2772 | LR: 0.000250 | No-improve: 0/25
Epoch 032 | Omega Rec: 0.725 | Anti Rec: 0.551 | A@0.55: 0.515 | Score: 0.2767 | LR: 0.000250 | No-improve: 1/25
Epoch 033 | Omega Rec: 0.718 | Anti Rec: 0.557 | A@0.55: 0.523 | Score: 0.2750 | LR: 0.000250 | No-improve: 2/25
Epoch 034 | Omega Rec: 0.717 | Anti Rec: 0.556 | A@0.55: 0.519 | Score: 0.2725 | LR: 0.000250 | No-improve: 3/25
Epoch 035 | Omega Rec: 0.722 | Anti Rec: 0.552 | A@0.55: 0.517 | Score: 0.2733 | LR: 0.000250 | No-improve: 4/25
Epoch 036 | Omega Rec: 0.719 | Anti Rec: 0.557 | A@0.55: 0.521 | Score: 0.2754 | LR: 0.000125 | No-improve: 5/25
Epoch 037 | Omega Rec: 0.719 | Anti Rec: 0.558 | A@0.55: 0.521 | Score: 0.2766 | LR: 0.000125 | No-improve: 6/25
Epoch 038 | Omega Rec: 0.720 | Anti Rec: 0.554 | A@0.55: 0.519 | Score: 0.2744 | LR: 0.000125 | No-improve: 7/25
Epoch 039 | Omega Rec: 0.718 | Anti Rec: 0.557 | A@0.55: 0.523 | Score: 0.2758 | LR: 0.000125 | No-improve: 8/25
Epoch 040 | Omega Rec: 0.719 | Anti Rec: 0.559 | A@0.55: 0.525 | Score: 0.2781 | LR: 0.000125 | No-improve: 9/25
Epoch 041 | Omega Rec: 0.720 | Anti Rec: 0.557 | A@0.55: 0.520 | Score: 0.2768 | LR: 0.000125 | No-improve: 0/25
Epoch 042 | Omega Rec: 0.719 | Anti Rec: 0.555 | A@0.55: 0.518 | Score: 0.2739 | LR: 0.000125 | No-improve: 1/25
Epoch 043 | Omega Rec: 0.717 | Anti Rec: 0.558 | A@0.55: 0.523 | Score: 0.2755 | LR: 0.000125 | No-improve: 2/25
Epoch 044 | Omega Rec: 0.721 | Anti Rec: 0.555 | A@0.55: 0.519 | Score: 0.2768 | LR: 0.000125 | No-improve: 3/25
