Run 16 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star'] | IN_CHANNELS=5 | D_MODEL=128
Dataset: 103751 Omega, 50081 Anti-Omega
Loss: per-class-mean BCE
EMA decay: 0.999
Model parameters: 274,498
Starting training...

Epoch 001 | Omega Rec: 0.658 | Anti Rec: 0.590 | A@0.55: 0.436 | Score: 0.2474 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | Omega Rec: 0.643 | Anti Rec: 0.635 | A@0.55: 0.527 | Score: 0.2781 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | Omega Rec: 0.659 | Anti Rec: 0.626 | A@0.55: 0.536 | Score: 0.2847 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | Omega Rec: 0.663 | Anti Rec: 0.627 | A@0.55: 0.537 | Score: 0.2897 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | Omega Rec: 0.673 | Anti Rec: 0.618 | A@0.55: 0.530 | Score: 0.2916 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | Omega Rec: 0.673 | Anti Rec: 0.623 | A@0.55: 0.532 | Score: 0.2953 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | Omega Rec: 0.676 | Anti Rec: 0.620 | A@0.55: 0.531 | Score: 0.2959 | LR: 0.000500 | No-improve: 0/25
Epoch 008 | Omega Rec: 0.676 | Anti Rec: 0.622 | A@0.55: 0.532 | Score: 0.2981 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | Omega Rec: 0.675 | Anti Rec: 0.625 | A@0.55: 0.533 | Score: 0.2998 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | Omega Rec: 0.673 | Anti Rec: 0.629 | A@0.55: 0.537 | Score: 0.3021 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | Omega Rec: 0.675 | Anti Rec: 0.628 | A@0.55: 0.533 | Score: 0.3025 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | Omega Rec: 0.674 | Anti Rec: 0.629 | A@0.55: 0.535 | Score: 0.3030 | LR: 0.000500 | No-improve: 0/25
Epoch 013 | Omega Rec: 0.669 | Anti Rec: 0.634 | A@0.55: 0.539 | Score: 0.3034 | LR: 0.000500 | No-improve: 0/25
Epoch 014 | Omega Rec: 0.675 | Anti Rec: 0.630 | A@0.55: 0.536 | Score: 0.3047 | LR: 0.000500 | No-improve: 0/25
Epoch 015 | Omega Rec: 0.679 | Anti Rec: 0.624 | A@0.55: 0.533 | Score: 0.3036 | LR: 0.000500 | No-improve: 0/25
Epoch 016 | Omega Rec: 0.678 | Anti Rec: 0.627 | A@0.55: 0.535 | Score: 0.3042 | LR: 0.000500 | No-improve: 1/25
Epoch 017 | Omega Rec: 0.682 | Anti Rec: 0.622 | A@0.55: 0.529 | Score: 0.3036 | LR: 0.000500 | No-improve: 2/25
Epoch 018 | Omega Rec: 0.680 | Anti Rec: 0.623 | A@0.55: 0.531 | Score: 0.3028 | LR: 0.000500 | No-improve: 3/25
Epoch 019 | Omega Rec: 0.686 | Anti Rec: 0.618 | A@0.55: 0.525 | Score: 0.3041 | LR: 0.000500 | No-improve: 4/25
Epoch 020 | Omega Rec: 0.684 | Anti Rec: 0.619 | A@0.55: 0.529 | Score: 0.3027 | LR: 0.000250 | No-improve: 5/25
Epoch 021 | Omega Rec: 0.686 | Anti Rec: 0.620 | A@0.55: 0.530 | Score: 0.3058 | LR: 0.000250 | No-improve: 6/25
Epoch 022 | Omega Rec: 0.683 | Anti Rec: 0.621 | A@0.55: 0.533 | Score: 0.3047 | LR: 0.000250 | No-improve: 0/25
Epoch 023 | Omega Rec: 0.687 | Anti Rec: 0.616 | A@0.55: 0.529 | Score: 0.3036 | LR: 0.000250 | No-improve: 1/25
Epoch 024 | Omega Rec: 0.687 | Anti Rec: 0.617 | A@0.55: 0.529 | Score: 0.3038 | LR: 0.000250 | No-improve: 2/25
Epoch 025 | Omega Rec: 0.689 | Anti Rec: 0.615 | A@0.55: 0.528 | Score: 0.3039 | LR: 0.000250 | No-improve: 3/25
Epoch 026 | Omega Rec: 0.691 | Anti Rec: 0.615 | A@0.55: 0.529 | Score: 0.3058 | LR: 0.000250 | No-improve: 4/25
Epoch 027 | Omega Rec: 0.693 | Anti Rec: 0.613 | A@0.55: 0.527 | Score: 0.3066 | LR: 0.000250 | No-improve: 5/25
Epoch 028 | Omega Rec: 0.695 | Anti Rec: 0.610 | A@0.55: 0.528 | Score: 0.3058 | LR: 0.000250 | No-improve: 0/25
Epoch 029 | Omega Rec: 0.696 | Anti Rec: 0.611 | A@0.55: 0.526 | Score: 0.3073 | LR: 0.000250 | No-improve: 1/25
Epoch 030 | Omega Rec: 0.695 | Anti Rec: 0.611 | A@0.55: 0.524 | Score: 0.3065 | LR: 0.000250 | No-improve: 0/25
Epoch 031 | Omega Rec: 0.697 | Anti Rec: 0.610 | A@0.55: 0.523 | Score: 0.3069 | LR: 0.000250 | No-improve: 1/25
Epoch 032 | Omega Rec: 0.701 | Anti Rec: 0.607 | A@0.55: 0.519 | Score: 0.3071 | LR: 0.000250 | No-improve: 2/25
